date,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain
2010-01-02 0:00,129,-16,-4,1020,SE,1.79,0,0
2010-01-02 1:00,148,-15,-4,1020,SE,2.68,0,0
2010-01-02 2:00,159,-11,-5,1021,SE,3.57,0,0
2010-01-02 3:00,181,-7,-5,1022,SE,5.36,1,0
2010-01-02 4:00,138,-7,-5,1022,SE,6.25,2,0
2010-01-02 5:00,109,-7,-6,1022,SE,7.14,3,0
2010-01-02 6:00,105,-7,-6,1023,SE,8.93,4,0
2010-01-02 7:00,124,-7,-5,1024,SE,10.72,0,0
2010-01-02 8:00,120,-8,-6,1024,SE,12.51,0,0
2010-01-02 9:00,132,-7,-5,1025,SE,14.3,0,0
2010-01-02 10:00,140,-7,-5,1026,SE,17.43,1,0
2010-01-02 11:00,152,-8,-5,1026,SE,20.56,0,0
2010-01-02 12:00,148,-8,-5,1026,SE,23.69,0,0
2010-01-02 13:00,164,-8,-5,1025,SE,27.71,0,0
2010-01-02 14:00,158,-9,-5,1025,SE,31.73,0,0
2010-01-02 15:00,154,-9,-5,1025,SE,35.75,0,0
2010-01-02 16:00,159,-9,-5,1026,SE,37.54,0,0
2010-01-02 17:00,164,-8,-5,1027,SE,39.33,0,0
2010-01-02 18:00,170,-8,-5,1027,SE,42.46,0,0
2010-01-02 19:00,149,-8,-5,1028,SE,44.25,0,0
2010-01-02 20:00,154,-7,-5,1028,SE,46.04,0,0
2010-01-02 21:00,164,-7,-5,1027,SE,49.17,1,0
2010-01-02 22:00,156,-8,-6,1028,SE,52.3,2,0
2010-01-02 23:00,126,-8,-6,1027,SE,55.43,3,0
2010-01-03 0:00,90,-7,-6,1027,SE,58.56,4,0
2010-01-03 1:00,63,-8,-6,1026,SE,61.69,5,0
2010-01-03 2:00,65,-8,-7,1026,SE,65.71,6,0
2010-01-03 3:00,55,-8,-7,1025,SE,68.84,7,0
2010-01-03 4:00,65,-8,-7,1024,SE,72.86,8,0
2010-01-03 5:00,83,-9,-8,1024,SE,76.88,9,0
2010-01-03 6:00,91,-10,-8,1024,SE,80.9,10,0
2010-01-03 7:00,86,-10,-9,1024,SE,84.92,11,0
2010-01-03 8:00,82,-10,-9,1024,SE,89.84,12,0
2010-01-03 9:00,86,-11,-9,1023,SE,93.86,13,0
2010-01-03 10:00,78,-11,-9,1023,SE,97.88,15,0
2010-01-03 11:00,98,-11,-9,1022,SE,102.8,16,0
2010-01-03 12:00,107,-11,-9,1021,SE,105.93,17,0
2010-01-03 13:00,90,-11,-9,1020,SE,111.74,19,0
2010-01-03 14:00,96,-11,-9,1020,SE,116.66,20,0
2010-01-03 15:00,95,-11,-9,1020,SE,121.58,21,0
2010-01-03 16:00,86,-11,-9,1020,SE,124.71,22,0
