time,data
1,22870
2,22761
3,22757
4,22894
5,22847
6,22652
7,22695
8,23150
9,23122
10,23079
11,23183
12,23216
13,23453
14,23302
15,22989
16,23197
17,23079
18,22610
19,22752
20,22586
21,22373
22,22529
23,22278
24,22212
25,22524
26,22311
27,22079
28,22060
29,22178
30,21671
31,21619
32,22088
33,22207
34,21927
35,22235
36,22268
37,22302
38,22463
39,22306
40,22050
41,22458
42,22515
43,21908
44,21747
45,22031
46,22354
47,22382
48,22572
49,22619
50,22657
51,22662
52,22643
53,22667
54,22714
55,22686
56,23032
57,23103
58,23107
59,23155
60,22994
61,23093
62,23306
63,23359
64,23340
65,23321
66,23382
67,23510
68,23524
69,23496
70,23615
71,23596
72,23534
73,23491
74,23529
75,23652
76,23757
77,23657
78,23321
79,23363
80,23169
81,23287
82,23302
83,23254
84,23273
85,23458
86,23937
87,23918
88,23837
89,23870
90,23790
91,23975
92,23885
93,23856
94,23927
95,23927
96,23681
97,23603
98,23425
99,23497
100,23376
101,23338
102,23430
103,23405
104,23352
105,23169
106,23203
107,23217
108,23087
109,23024
110,23024
111,23087
112,22923
113,23246
114,23203
115,23323
116,23270
117,23459
118,23473
119,23516
120,23555
121,23869
122,24110
123,24100
124,24004
125,23507
126,23430
127,23420
128,23241
129,23280
130,23603
131,23603
132,23738
133,23753
134,22990
135,23053
136,23111
137,23386
138,23555
139,23748
140,23830
141,23801
142,23323
143,23589
144,23468
145,23816
146,23816
147,23975
148,24018
149,24139
150,24183
151,24149
152,24105
153,24129
154,24115
155,24129
156,24342
157,24327
158,24274
159,24255
160,24453
161,24265
162,23956
163,24009
164,24269
165,24453
166,24641
167,24559
168,24588
169,24675
170,24661
171,24641
172,24820
173,24878
174,24733
175,24863
176,24748
177,24791
178,24694
179,24699
180,24801
181,24709
182,24646
183,24694
184,25008
185,25100
186,25052
187,25047
188,24752
189,24129
190,24216
191,24467
192,24506
193,24670
194,24888
195,24868
196,24786
197,24955
198,24883
199,25057
200,24786
201,24931
202,24917
203,25090
204,25013
205,25052
206,24704
207,24685
208,24467
209,24593
210,24632
211,24801
212,24830
213,24854
214,24733
215,24921
216,24883
217,24579
218,24690
219,24704
220,24656
221,24665
222,24342
223,24424
224,24337
225,24574
226,24627
227,24120
228,24598
229,24352
230,24158
231,24071
232,24158
233,24144
234,24134
235,24086
236,24361
237,24453
238,24327
239,24337
240,24410
241,24419
242,24540
243,24559
244,24385
245,24356
246,24651
247,24719
248,25139
249,25153
250,25119
251,25168
252,25192
253,25182
254,25245
255,25264
256,25322
257,25288
258,25274
259,25240
260,25288
261,25327
262,25409
263,25424
264,25510
265,25713
266,25742
267,25641
268,25752
269,25815
270,25781
271,26244
272,26312
273,26244
274,26100
275,26201
276,26187
277,26201
278,26162
279,26138
280,26143
281,26240
282,26452
283,26307
284,26384
285,26283
286,26302
287,26365
288,26341
289,26215
290,26254
291,26302
292,26317
293,26244
294,26327
295,26312
296,26312
297,26399
298,26640
299,26694
300,26703
301,26500
302,26380
303,26428
304,26674
305,26418
306,26447
307,26607
308,26655
309,26602
310,26621
311,26920
312,27167
313,27201
314,27399
315,27519
316,27485
317,27751
318,27659
319,27703
320,27659
321,27485
322,27548
323,27640
324,27616
325,27563
326,27630
327,27572
328,27524
329,27418
330,27370
331,27210
332,27099
333,27114
334,27370
335,27249
336,27307
337,27292
338,27172
339,27287
340,27514
341,27659
342,27939
343,28108
344,28162
345,28221
346,28442
347,28726
348,29477
349,29158
350,29522
351,29394
352,29463
353,29502
354,29487
355,29428
356,29369
357,29605
358,29693
359,29723
360,30071
361,30258
362,30228
363,30022
364,30027
365,29944
366,30312
367,30268
368,30086
369,30238
370,30464
371,30169
372,30336
373,30331
374,30209
375,30219
376,30381
377,30474
378,30282
379,30484
380,30557
381,30724
382,30734
383,30636
384,30847
385,30754
386,30822
387,30631
388,30749
389,30754
390,30631
391,30734
392,30906
393,30901
394,31235
395,31279
396,31411
397,31402
398,31441
399,31603
400,31735
401,31726
402,31568
403,31495
404,31598
405,30982
406,30982
407,31258
408,31342
409,30785
410,30948
411,30967
412,30918
413,30529
414,30386
415,29830
416,30096
417,30278
418,30450
419,30421
420,30386
421,30490
422,30510
423,30652
424,30672
425,30495
426,30416
427,30529
428,30342
429,30342
430,30002
431,29973
432,29909
433,30283
434,30303
435,30578
436,30603
437,30618
438,30736
439,30908
